year,country,case_name,court,complaining_work,defending_work,complaining_author,defending
2011,US,Lessem v. Taylor,S.D.N.Y.,Elevator,How We Do,"Ryan Lessem, Douglas Johnson","Jayceon Taylor (“The Game”), Andre Young (“Dr. Dre”), Michael Elizondo, Curtis Jackson (“50 Cent”)"
2011,US,"Saregama India v. Timothy Mosley, et al.",11th Cir.,Baghon Mein Behar Hai,Put You on the Game,Anonymous,"Timothy Mosley, aka ""Timbaland"""
2011,DE,"Eight Mile Style [Marshall Mathers, aka Eminem” v. Audi GmbH",Hamburg Regional Court,Advertisement for Chrysler Corp.,​Advertisement for Audi A6 “Avant”,Marshall Mathers [aka “Eminem”],Audi GmbH
2011,DE,Obinger v. McDonald's,OLG [Higher State Court] Munich,,McDonald's-Jingle,Stephan Obinger,McDonald's Corporation
2011,US,Stokes v. Stephens,D.N.J.,Where are You Now?,Maxine's Interlude,Anthony Stokes,John Legend
2012,US,"Lyles v. Capital - EMI Music, Inc., et al.",S.D. Ohio,Without You,Without You,Bruce Lyles,David Guetta
2012,US,Peters v. West,7th Cir.,Stronger,Stronger,Vince Peters,Kanye West
2012,TWN,People v. Xinru Wang,Taiwan Shilin District Court,What Is Wrong with Love,Sleeping Beauty,Meiru Huang,Xinru Wang
2012,US,Done Deal v. Carter,S.D.N.Y.,Bedrock,Bedrock,William Keith,"Dwayne Carter, aka Lil Wayne"
2012,US,Poindexter v. EMI Record Group,S.D.N.Y.,Thin Line Between Love and Hate,Washed Away,"Robert Poindexter, et al.",EMI Record Group
2012,PRC,Rui Hua Wang v. Qi Gang Chen,Sup. Ct. Beijing,You and Me,You and Me,Rui Hua Wang,Qi Gang Chen
2012,US,Black Keys v. Home Depot and Pizza Hut,C.D. Cal.,Lonely Boy; Gold on the Ceiling,Advertisement for Home Depot; Advertisement for Pizza Hut,Daniel Auerbach and Patrick Carney,
2012,US,Erickson v. Blake,D. Or.,Pi Symphony,What Pi Sounds Like,Lars Erickson,Michael John Blake
2012,,"Barobax v. Chakraborty, et al.",,Soosan Khanoom,Pyaar Ki Pungi,Kevian Haghgoo et al.,Pritam Chakraborty
2013,US,Hobbs v. John,7th Cir.,Natasha,Nikita,Guy Hobbs,Elton John
2013,US,Loomis v. Cornish,C.D. Cal.,Bright Red Chords,Domino,Will Loomis,Jessica Cornish
2013,US,"Twilight Records v. Raymond, et al.",N.D. Ill.,Syl Johnson,Different Strokes,Usher Raymond,Call Me a Mack
2013,US,"Love v. Universal Music Group, Inc.",W.D. Mo.,I'm Doing My Job,Doin My Job,Bloodstone,Kanye West
2014,US,"Francescatti v. Germanotta [""Lady Gaga""]",N.D. Ill.,Juda,Judas,Rebecca Francescatti,Stefani Germanotta
2014,US,"Pringle v. Adams [""Black Eyed Peas""]",9th Cir.,Take a Drive,I Gotta Feeling,Brian Pringle,"William Adams, et al."
2014,US,Steward v. Kanye West,C.D. Cal.,Bumpin' Bus Stop,Gold Digger,David Pryor,Kanye West
2014,US,"TufAmerica, Inc. v. Warner Bros Music Corp., et al",S.D.N.Y.,"Hook & Sling, Pt. I",Run This Town,Eddie Bo & The Soul Finders,"Shawn Carter (""Jay-Z"") et al."
2014,US,Mayimba Music v. Sony,S.D.N.Y.,Loca con su Tiguere,Loca con su Tiguere,Ramon Arias Vasquez,Eduard Edwin Bello Pou
2014,US,Paul Batiste v. Faheem Rasheed Najm,E.D. La.,I Like Your Way; Blues Man,Put It Down; Reggae Nigh,Paul Batiste,Faheem Rasheed Najm (p/k/a T-Pain)
2014,DE,Musikverlag Richard Birnbach v. ZDF,OLG [Higher State Court] Munich,Fanfaren-Blues,"""Today"" Jingle","Klaus Wüsthoff, Hans Günter Wagener",ZDF
2015,US,Lane v. Knowles-Carter,S.D.N.Y.,X.O.X.O.,X.O.,Ahmad Javon Lane,Beyonce Knowles-Carter
2015,US,"New Old Music v. Gottwald, et al.",S.D.N.Y.,Zimba ku,Price Tag,Lenny Lee Goldsmith,"Jessica Cornish, et al."
2015,US,"Devin Copeland v. Justin Bieber, et al.",4th Cir.,Someone to Love,Someone to Love,Devin Copeland,"Justin Bieber, et al."
2015,US,"TufAmerica v. Diamond, et al.",S.D.N.Y.,Say What; Drop the Bomb,Shadrach; Car Thief; Hold It,Trouble Funk [band],"Diamond, Horovitz, et al. [Beastie Boys]"
2015,US,"Miles Floyd v. Rod Stewart, et al.",N.D. Ga.,Corrine Corrina,Corrina Corrina,"American folk song, as performed by Bo Carter","American folk song, as performed by Rod Stewart"
2015,US,"Daniel Marino v. Usher, et al.",E.D. Pa.,,Bad Girl,Daniel Marino,Usher Raymond
2015,US,Tom Petty v. Sam Smith,,I Won't Back Down,Stay With Me,Tom Petty and Jeff Lynne,Sam Smith
2015,US,Richard Friedman v. Hans Zimmer,C.D. Cal.,To Our Fallen,Music score for “12 Years a Slave”,Richard Friedman,Hans Zimmer
2015,DE,Dark Sanctuary v. Bushido,BGH [Federal Court of Justice],Les Memoires Blessées,Janine,Dark Sanctuary,Bushido
2015,FR,Johnson v. Goldman,Cour de cassation [supreme court for judicial matters],Forever,Aicha,Jefferson/Jean-François Johnson,Jean-Jacques Goldman
2015,US,"Guzman v. Hacienda Records, et al.",5th Cir.,"Triste Adventura, alternatively known as Cartas de Amor",Cartas de Amor,Jose Guzman,Hacienda Records
2015,IT,Universal Music Publishing v. Sony BMG Music Entertainment,Cass. civ.,Zingara,"Prendi questa mano, zingara",Enrico Riccardi and Luigi Albertelli,Francesco De Gregori
2016,US,Fahmy v. Jay Z et al.,C.D. Cal.,"Khosara, Khosara",Big Pimpin',Baligh Hamdi,Jay Z et al.
2016,US,Bowen v. Paisley,M.D. Tenn.,Remind Me,Remind Me,Amy Bowen,"Brad Paisley, et al"
2016,US,"VMG Salsoul v Madonna Ciccone, et al.",9th Cir.,Chicago Bus Stop,Vogue,"Vincent Montana, Richard Pettibone","Madonna Ciccone, Richard Pettibone"
2016,US,"McDonald v. West, et al.",2d Cir.,Made in America,Made in America,Joel McDonald,"Kanye West, et al."
2016,US,We Shall Overcome Foundation v. Richmond Foundation & Ludlow Music,S.D.N.Y,We Shall Overcome,,African-American Spiritual,
2016,US,"Alisa Apps v. Universal Music, et al.",D. Nev.,Need to Know,Love Me Again,Alisa Apps,John Newman
2016,US,Arnett v. Alan Jackson & Sony Music,E.D.N.C.,Remember Me,Remember When,Timothy Arnett,Alan Jackson
2016,US,"BMG v. Atlantic Recording Organization, et al.",S.D.N.Y.,Came to Do,Post to Be,"Joseph Bereal, et al.","Omari Ishmael Grandberry, aka “Omarion”"
2016,US,"Eric Smith, et al. v. Amanda Jiroux, et al.",C.D. Cal.,No Rain,Insane,"Eric  Smith, et al.",Amanda Jiroux
2016,US,"Gabor Presser v. Kanye West, et al.",S.D.N.Y.,Gyongyhaju Lany,New Slaves,Gabor Presser & Anna Adamis,Kanye West
2016,US,"Mattie Music Group v. Lamar, Warner/Chappell, et al.",C.D. Cal.,Don't You Want to Stay,I Do This,"Bill Withers, et al.","Kendrick Lamar, et al."
2016,US,"McElroy, et al. v. Eriksen, et al.",C.D. Cal.,Why You Treat Me So Bad,I'm Worth It,"Thomas McElroy, Denzil Delano, Jay King","Mikkel Eriksen, et al."
2016,US,"Songs Music Publishing v. Porsche, et al.",M.D. Tenn.,Jungle,Advertisement for Porsche’s Cayman 718 automobile,Members of  the band “X Ambassadors”,Cramer-Krasselt advertising agency
2016,US,"Yours, Mine & Ours v. Sony, et al.",C.D. Cal.,Young Girls,Uptown Funk,Members of  “electro-funk” band Collage,Peter Hernandez (“Bruno Mars”) et al.
2016,US,"Estate of Armetia Chatmon v. Eric Clapton, et al.",M.D. Tenn.,"Corrine, Corrina","Alberta, Alberta",Public domain blues number performed by Bo Carter (Chatmon),Public domain blues number performed by Eric Clapton
2016,US,"Miller, et al. dba “Sleigh Bells” v. Demi Lovato",C.D. Cal.,Infinity Guitars,Stars,“Sleigh Bells” [band],Demi Lovato
2016,US,"Greggs v. Grande, et al.",C.D. Cal.,Takes All Night,One Last Time,Alex Greggs,Ariana Grande
2016,US,"HaloSongs, Inc., Martin Harrington, Thomas Leonard v. Ed Sheeran, et al.",C.D. Cal.,Amazing,Photograph,Martin Harrington & Thomas Leonard,Ed Sheeran & John McDaid
2016,US,"Darlene Love v. Scripps Network, Inc.",N.D. Cal.,Christmas (Baby Please Come Home),,"Jeff Barry, et al.",
2016,US,"Casey Dienel v. Justin Bieber, et al.",M.D. Tenn.,Ring the Bell,Sorry,Casey Dienel,"Julia Michael, Justin Tranter, Justin Bieber, Thomas Pentz, et al."
2016,US,"Cirque du Soleil v. Justin Timberlake, et al.",S.D.N.Y.,Steel Dream,Don't Hold the Wall,Cirque du Soleil,"Justin Timberlake, et al."
2016,US,"PK Music v. Justin Timberlake, et al.",S.D.N.Y.,A New Day is Here at Last,Damn Girl,Perry Kibble,"Justin Timberlake, et al."
2016,FR,Feriol v. Maurici,Cour de cassation [supreme court for judicial matters],Les Chansons d’artiste,Si seulement je pouvais lui manquait,Laurent Feriol,Calogero Joseph Salvatore Maurici (“Calogero”)
2017,US,"Parker, et al. v. Winwood, et al.",M.D. Tenn.,Ain't That a Lot of Loving,Gimmee Some Lovin,Willia Dean Parker & Homer Banks,"Mervyn Winwood, et al."
2017,US,Roberts v. Gordy,11th Cir.,Hustlin,Party Rock Anthem,"Wiliam Roberts, Andrew Harr, Jermaine Jackson","Stefan & Skyler Gordy (""LMFAO"")"
2017,US,Mitchell v. Priority Records,W.D. Ky.,Star in the Ghetto,If It Ain't Ruff,Leroy Mitchell,"Andre Young( ""Dr. Dre"")"
2017,US,Abdul Muhammad v. Chancellor Bennett,N.D. Ill.,Bridge Through Time,Windows,Abdul Muhammad (Erik Saunders),Chancellor Bennett (“Chance Rapper”)
2017,US,"Lastrada Entertainment v. Mark Ronson, et al.",S.D.N.Y.,More Bounce to the Ounce,Uptown Funk,Roger Troutman,Mark Ronson
2017,US,"Enclosed Music v. Steinman, et al.",C.D. Cal.,[I’d do] Anything for You,I’d do Anything for Love,"Jon Dunmore, Mike Molina",James Steinman
2017,US,"Sean Hall, et al. v. Taylor Swift, et al.",C.D. Cal.,Playas Gon’ Play,Shake It Off,Sean Hall,Taylor Swift
2017,US,"Estate of Barre v. Beyoncé Knowles Carter, Sony Music, et al.",E.D. La.,Booking the Hoes from New Wildings; A 27 Piece Huh?,Formation,Anthony Barre aka “Messy Mya”,Beyoncé Knowles Carter
2017,US,"Golden Crown Publishing v. Sony Music, Jonathan Smithy [aka “Lil’ Jon”], et al.",S.D.N.Y.,Turn Down for What?,Turn Down for What?,"Fredley Saurel [aka “Freddy GZ”], et al.","Jonathan Smith [aka Lil’ Jon”], et al."
2017,US,"Bosh v. Univision Communications, Inc.",S.D. Fla.,Yo Soy Boricua,Advertisement for Spanish language Sesame Street,Joel Bosh,"Univision Communications, Inc."
2017,IN,Super Cassettes v. Trimurti Films,Bom. HC,Kehdoon Tumhe,Socha Hai (Kehdoon Tumhe Remix,Kishore Kumar & Asha Bhosle,Jumin Nautiyal & Neeti Mohan
2017,US,"Stone et al. v. TIG7 Publishing, LLC et al.",N.D. Ga.,Funk You Up,Uptown Funk,The Sequence,Bruno Mars & Mark Ronson
2018,US,"Paul Rose v. Paul David Hewson, aka “Bono”, et al.",S.D.N.Y.,Nae Slappin',The Fly,Paul Rose,"Paul Hewson, aka “Bono”, et al."
2018,US,"Abiodun Oyewole v. Rita Ora, et al.",S.D.N.Y.,When the Revolution Comes,How We do Party; Party and Bullshit; Calm Down,Abiodun Oyewole,Rita Ora; Christopher Wallace; Marshall Mathers & Trevor Smith
2018,US,"Wilson v. Dynatone Pub., et al.",2d Cir.,Sho' Nuff,Suit & Tie,"John Wilson, Charles Still, Terrance Stubbs",Justin Timberlake
2018,US,"Cortes-Ramos v. Enrique Martin-Morales (""Ricky Martin"")",1st Cir.,World Cup Song Contest Entry,Vida,Luis Cortes-Ramos,Ricky Martin
2018,US,"Fahmy v. Jay Z, et al.",9th Cir.,"Khosara, Khosara",Big Pimpin',Baligh Hamdi,"Jay Z, et al."
2018,US,"Pharrell Williams, et al. v. Frankie Gaye, et al.",9th Cir.,Got to Give it Up,Blurred Lines,Marvin Gaye,"Robin Thicke, Pharrell Williams"
2018,US,"Lela Weems v. Odd Future Records, et al.",C.D. Cal.,Why Can't There Be Love,Deathcamp,Herman Weems,Tyler Okonma
2018,US,"Michael May v. Miley Ray Cyrus, et al.",S.D.N.Y.,We Run Things,We Can't Stop,Michael May,Miley Ray Cyrus
2018,US,[INPLAY] Platinum Jack Entertainment v. ESPN and Chick-Fil-A,N.D. Tex.,Best I Had,Ads Aired on ESPN,Drayter [Band],Chick-Fil-A Advertising Agency
2018,US,Carey v. Sheeran,S.D.N.Y.,When I Found You,The Rest of Our Life,"Sean Carey, Beau Golden, Jasmine Rae",Edward Sheeran
2018,US,"Del Rio v. Virgin America, et al.",C.D. Cal.,Flight Safety Video,,Neomi Del Rio,Virgin America
2018,US,"Jamie Ciero v. Disney, et al.",C.D. Cal.,Volar,Let It Go,Jamie Ciero,Disney
2018,US,Tracy Chapman v. Nicki Minaj,C.D. Cal.,Baby Can I Hold You,Sorry,Tracy Chapman,Nicki Minaj ft. Nas
2018,US,"[INPLAY] Brighter Sky Productions LLC, et al. v. Marriott International, Inc., et al.",N.D.Ill.,Rocket Boys Musical,October Sky Musical,"Dan Tramon, Diana Belkowski, and Carl Anthony Tramon","Marriott International, Inc, and Universal Pictures"
2018,US,"Benny Mardones, et al. v. Cyndi Lauper, et al.",S.D.N.Y.,Into the Night,Raise You Up,Benny Mardones & Robert Tepper,Cyndi Lauper
2018,US,"Richard Morrill v. Gwen Stefani, Pharrell Williams, et al.",C.D. Cal.,Who's Got My Lightah (1996) / Who's Got My Lighter (2009),Spark the Fire,Richard Morrill,Gwen Stefani & Pharrell Williams
2018,DE,Stahlgewitter v. Frei.Wild,OLG [Higher State Court] Hamburg,Auftrag Deutsches Reich,"Schenkt uns Dummheit, kein Niveau",Stahlgewitter,Frei.Wild
2018,JP,Harumaki Gohan v. Mori,,Hachigatsu no Rainy [August Rainy],M.A.K.E.,Harumaki Gohan,Yamato Mori
2019,NZ,Eight Mile Style v. New Zealand National Party,H.C. N.Z.,Lose Yourself,Eminem Esque,"Marshall Mathers, et al.",Michael Cohen
2019,US,The Rolling Stones v. The Verve,,The Last Time,Bittersweet Symphony,The Rolling Stones,The Verve
2019,US,"Andrew Green v. Kanye West, et al.",D.S.C.,Video Recording of child praying,Ultralight Beam,Alice T. Johnson and N.G (minor child),Kanye West
2019,US,"William Smith et al. v. ""The Weeknd""",C.D. Cal,I Need to Love,A Lonely Night,"William Smith, Brian Clover, Scott McCulloch",Abel M. Tesfaye (“The Weeknd”)
2019,US,"Song-a-tron Music, et al. v. Jones, et al.",S.D.N.Y,Back it Up,24 Hours,Song-A-Tron Music,"Christian Jones (""TeeFLii"")"
2019,DE,[INPLAY] Hütter v. Pelha,Court of Justice of EU,Metall auf Metall,Nur mir,Kraftwerk,Sabrina Setlur
2019,US,Mimi Korman v. Julio Iglesias,11th Cir.,Me Olvide de Vivir,Me Olvide de Vivir,Mimi Korman,Julio Iglesias
2019,US,"Rodriguez v. Avalos, et al.",W.D. Tex.,Pediré,Pediré,Esmeralda Lucy Rodriguez,"Eric Avalos, Courtney Rico, Chavalos Music, Inc."
2019,US,"[INPLAY] Nicholas v. Pigott, et al.",E.D. La.,Roll Call (Instrumental),That beat; In my feelings; Nice for what,"Samuel Nicholas III (""Sam Scully"")","Adam J. Pigott (""BlaqNmilD""); Aubrey Drake Graham (""Drake"")"
2019,US,"[INPLAY] Brandon Lee (""Don Lee""), et al. v. Hill (""Lil Nas X""), et al.",S.D.N.Y.,gwenXdonlee4-142,Rodeo,"Brandon Lee (""Don Lee"") & Glen Demeritt","Montero Lamar Hill (""Lil Nas X""), et al."
2019,US,Zachry Brown v. Ryan Tedder,C.D. Cal.,Nowhere Left to Go,,Zachry Brown,Ryan Tedder
2019,US,"Mark Halper v. Sony/ATV Music Publishing, LLC, et al.",6th Cir.,Don't Throw Our Love Away,Stay With Me,Mark Halper,"Sam Smith, et al."
2019,US,New Day Worldwide v. Taylor Swift,C.D. Cal.,Haters gone Hate,Shake it Off,Jesse Graham,Taylor Swift
2019,US,"[INPLAY] Key, et al. (""Yellowcard"") v. Higgins, et al. (""Juice WRLD"")",C.D. Cal,Holly Wood Died,Lucid Dreams,"Ryan Key, et al. (""Yellowcard"")","Jared A. Higgins (""Juice WRLD""), et al."
2019,US,Brown v. Netflix,S.D.N.Y.,Fish Sticks n' Tater Tots (song),Burlesque: Heart of the Glitter Tribe (film),"Tamita Brown, et al.","Netflix, et al."
2019,US,Guity v. Santos,S.D.N.Y.,Eres Mia,Eres Mia,Nazim Guity,Anthony Santos
2019,US,"Pickett v. Migos Touring, Inc., et al.",S.D.N.Y.,Walk It Like I Talk It,Walk It Talk IT,"Leander C. Pickett (""M.O.S."")","Migos Touring, Inc. (""Migos""), et al."
2019,US,Stone v. Dudley,C.D. Cal.,,Sharon Stoned,Sharon Stone,Chelsea Dudley a/k/a/ Chanel West Coast
2019,US,"Batiste v. Lewis, et al.",E.D. La.,Hip Jazz; World of Blues; Salsa 4 Elise; I Got the Rhythm On,Thrift Shop; Neon Cathedral,Paul Batiste,"Ryan Lewis; Ben Haggerty (""Macklemore"")"
2019,US,[INPLAY] Richardson v. Kharbouch,N.D. Ill.,*Hood* Pushin’ Weight,Ain’t Worried About Nothin,Eddie Lee Richardson aka Hotwire the Producer,"Karim Kharbouch aka French Montana;
Excuse My French"
2019,US,Hines v. Roc-A-Fella Records Inc. et al.,S.D.N.Y.,Help Me Put Out The Flame (In My Heart),Paper Chase; Toe 2 Toe,Ernie Hines,Jay-Z; Timbaland
2019,US,"Jefferson v. Raisen, et al.",C.D. Cal.,Truth Hurts,Healthy (Demo),"Melissa Jefferson (""Lizzo"")",Justin Raisen; Jeremiah Raisen
2019,IN,Saregama India v. Balaji,Delhi H.C.,Var Dhagala Lagli Kal,Dhagala Lagali Kala,Dada Kondke,"Meet Bros, et al."
2020,US,Estate of James Oscar Smith v. Cash Money Records,2d Cir.,Jimmy Smith Rap,Pound Cake,Jimmy Smith,"Aubrey Drake Graham aka ""Drake"""
2020,US,"Yeasayer v. Tesfaye (""The Weeknd"")",S.D.N.Y.,Sunrise,Pray for Me,"Yeasayer, LLC",Abel Makkonen Tesfaye (“The Weeknd”); Kendrick Lamar Duckworth
2020,US,Michael Skidmore v. Led Zeppelin,9th Cir.,Taurus,Stairway to Heaven,Randy Wolfe,Jimmy Page
2020,US,"Marcus Gray, et al. v. Katy Perry",C.D. Cal.,Joyful Noise,Dark Horse,"Marcus Gray, et al.","Katy Perry, et al."
2020,US,[INPLAY] Armes v. Post,C.D. Cal.,Circles,,Tyler Armes,"Austin Post (aka ""Post Malone"")"
2020,US,[INPLAY] Gordon v. Chambers,E.D.N.Y.,Yung Gordon Intro,Stoopid,"Seth Gordon (""Yung Gordon"")","Brytavious Chambers (“Tay Keith”);
Daniel Hernandez (“Takashi 6ix9ine”)"
2020,US,"[INPLAY] Griffin v. Sheeran, et al.",S.D.N.Y.,Let's Get It On,Thinking Out Loud,Marvin Gaye,"Amy Wadge, Ed Sheeran"
2020,US,"[INPLAY] Jackson v. Apple, Inc.",N.D. Cal.,Side Show,,Darell Jackson,"Apple, Inc., et al."
2020,US,[INPLAY] Basil v. AMC,C.D. Cal.,Mickey,,Toni Basil,
2020,US,"[INPLAY] Stines v. Knowles, et. al.",C.D. Cal.,,Black Effect,,The Carters
2020,US,"Jackson (""50 Cent"") v. Roberts",2d Cir.,In Da Club,Renzel Remixes,"Curtis James Jackson (""50 Cent"")","William Leonard Roberts II (""Rick Ross"")"
2020,US,[INPLAY] Hayes v. Lamar,C.D. Cal.,,Loyalty,Terrance Hayes,Kendrick Lamar
2020,US,Stone v. Grande,S.D.N.Y.,"You Need It, I Got It",7 Rings,Josh Stone,Ariana Grande
2020,UK,Sheeran v. Chokri,EWHC [High Court of Justice],Oh Why,Shape of You,Sam Chokri,Ed Sheeran
2020,US,Structured Asset Sales v. Sheeran,S.D.N.Y.,Let's Get It On,Thinking Out Loud,Marvin Gaye,Ed Sheeran
2020,US,"Norwood v. Quality Control Music, LLC",N.D. Ga.,Martian,How Did I Get Here ft. J. Cole,Barbara Norwood,Offset
2021,US,"Nwosuocha v. Glover, et al.",S.D.N.Y.,Made in America,This Is America,Emelike Nwosuocha,Donald Glover
2021,US,"[INPLAY] Cooper, et al. v. Brown, et al.",S.D. Fla.,I Love Your Dress,No Guidance,Mr. Cooper,Chris Brown & Drake
2021,US,"[INPLAY] Cates v. Shlemovitz, et al.",N.D.N.Y.,She Loves Her Job,FeBreze Tagline,Cameron Cates,"Shlemovitz, et al."
2021,US,Robinson v. Wilburn,N.D. Ill.,When U Think About It,When I Think About It,Gutta,Future
2021,US,Johannsongs-Publishing Ltd. v. Lovland,9th Cir.,Söknuður,You Raised Me Up,Jóhann Helgason,Rolf Løvland
2021,US,[InPlay] Cleveland Constantine Browne et al. v. Rodney Sebastian Clark Donalds et al.,C.D. Cal.,Fish Market,Despacito,Cleveland Browne & Wycliffe Johnson,Luis Fonsi
2021,US,"AOM Music, Inc v. Benito Antonio Martínez Ocasio (p/k/a Bad Bunny)",C.D. Cal.,Playero Works,Safaera,"AOM Music, Inc.",Benito Antonio Martínez Ocasio p/k/a Bad Bunny
2022,US,[INPLAY] Ultra v. West,S.D.N.Y.,Move Your Body,Flowers,Marshall Jefferson,Kanye West
2022,US,Frisby v. Sony,9th Cir.,Shawty So Cold,Deja Vu; Exchange,G-Money,J. Cole; Bryson Tiller
2022,US,"Cope v. Dua Lipa, et al",E.D. La.,Live Your Life,Levitating,Artikel Sound,Dua Lipa
2022,US,[InPlay} Quinn et al v. Powell et al.,N.D. Ga.,Back N Forth,Living My Best Life,"Darwin Quinn, Mitchelle'l Sium,","Roland Powell p/k/a Lil' Duvall, Rich Broke Entertainment, LLC"
2022,US,[InPlay] Larball Publ'g Co. v. Lipa,S.D.N.Y.,Wiggle and Giggle All Night,Levitating,"Russell Brown, Sandy Linzer",Dua Lipa
2022,US,[InPlay] Phase One Network v. Kanye West,S.D.N.Y,South Bronx,Life of the Party,"Lawrence Parker, Scott Sterling",Kanye West
2022,US,Moten v. Def Jam,N.D. Tex.,Unspecified Sermon,Come to Life,Bishop David Paul Moten,Kanye West
2022,US,Patrick v. Poree,N.D. Ga.,I Do What I Want,,Yolanda Patrick,April Louise Poree
2022,US,Grigson v. Lopez,C.D. Cal.,That Girl,Some Things Never Change,Daniel Grigson,Kristen Anderson Lopez
2022,US,Sound & Color v. Sam Smith,C.D. Cal.,Dancing with Strangers,Dancing with a Stranger,"Jordan Vincent, Christopher Miranda","Sam Smith, Normani"
2022,US,[InPlay] Third Side Music v. Evenflo Co.,S.D. Ohio,Best Friend,Ad Background Music,Sofi Tukker,Evenflo
2023,US,Astley v. Hauri,"Cal.Super.Ct., Los Angeles County",Never Gonna Give You Up,Betty (Get Money),Rick Astley,Yung Gravy
2023,US,Stone v. Carey,C.D. CA,All I Want for Christmas is You,All I Want for Christmas is You,"Andy Stone, AKA Vinnie Vance",Mariah Carey
2023,US,[InPlay] Formal Entertainment v. Zayn Malik,C.D. CA,Somebody Tonight,Better,"Patrick Simmons p/k/a ""Havyn""","Zayn Malik p/k/a ""Zayn"""
2023,US,"[InPlay] Darko v. Grahm, et al.",S.D.N.Y.,Oye Ohene,Calling My Name,Obrafour,Drake
2023,US,"[InPlay] Concord Music Group, et al. v. Anthropic PBC",M.D. Tenn.,,,"Concord Music, Universal Music Group and ABKCO Music",Anthropic PBC
2024,US,Chamberlain v. Dolo Entertainment,E.D.N.Y.,In That Mood,In Ha Mood,Duvall Chamberlain,Isis Naija Gaston a/k/a Ice Spice
2024,US,"Peabody & Company LLC v. Wayne, et al.",S.D.N.Y.,Come On Down,The Box,Greg Perry,Roddy Ricch
2024,US,"Johnston v. Kroeger, et al.",5th Cir.,Rockstar,Rockstar,Snowblind,Nickelback
