year,country,case_name,court,complaining_work,defending_work,complaining_author,defending
1954,US,Robbins v. Alamo,S.D.N.Y.,"Theme for TV show ""Dragnet""","Theme for 1946 movie, ""The Killers""",Walter Schumann,Miklos Rozsa
1954,US,Mills Music v. Cromwell Music,S.D.N.Y.,"Tzena, Tzena","Tzena, Tzena",Issachar Miron & Julius Grossman,Issachar Miron & Julius Grossman
1956,US,Robertson v. Batten,S.D. Cal.,The Happy Whistler,Ad for San Francisco Brewing Company,Donald Irwin Robertson,"Song Ads, Inc."
1956,US,Smith v. Muehlebach Brewing,W.D. Mo.,Proposed Advertising Jingle for Muehlebach Beer,Time for Muehlebach,Leonard Smith,Muehlebach Brewing
1956,US,Wihtol v. Wells,7th Cir.,My God and I,My God and I,I.B. Sergei (Wihtol),Kenneth H. Wells
1958,US,Cholvin v. B & F Music,7th Cir.,When the Sun Bids the Sky Goodnight,While We Dream,Homer Cholvin and Norman Stade,Kaczmarek
1959,US,Dorchester Music v. National Broadcasting Company,S.D. Cal.,Rendezvous,I Dreamed,Fred Spielman,Charles Green
1960,US,Walters v. Shari Music Publishing,S.D.N.Y.,Iron Bar,Jamaica Farewell,Lionel Walters,Erving Burgie
1963,UK,Francis Day & Hunter v. Bron,Ch. App.,In a Little Spanish Town,Why,Mabel Wayne,Peter de Angelis
1964,US,Irving Berlin et al. v. E.C. Publications,2d Cir.,A Pretty Girl is Like a Melody,Louella Schwartz Describes Her Malady,Irving Berlin,Frank Jacobs and Larry Siegel
1964,US,"Nom Music, Inc. V. Kaslin",S.D.N.Y.,A Thousand Miles Away,Daddy's Home,James Sheppard and William Miller,James Sheppard and William Miller
1965,US,Life Music v. Broadcast Music,S.D.N.Y.,SUPERCALAFAJALISTICK ESPEEALADOJUS,SUPERCALIFRAGILISTIC EXPIALIDOCIOUS,Patricia Smith and Don Fenton,Robert Sherman
1965,US,Nordstrom v. R.C.A.,D. Colo.,Mizpah or Shalom,Shalom,Frank Nordstrom,Jerry Herman
1967,US,Packson v. Jobete,E.D. Mich.,I'm Afraid,Baby Love,"Lorenzo Pack, Harper Evans","Eddie Holland, Brian Holland, Lamont Dozier"
1967,DE,In re Geman Collecting Society GEMA,BGH [Federal Court of Justice],Schwarzbraun ist die Haselnuss,,GEMA / Franz Josef Breuer,
1969,US,Leo Feist v. Apollo Records,S.D.N.Y.,"Toot, Toot, Tootsie","Toot, Toot, Tootsie",Gus Kahn et al.,Gene Sayet & Sidney Feldman
1970,DE,Bote & Bock Musik v. Melodie der Welt GmbH & Co KG,BGH [Federal Court of Justice],O schöne Jugendtage,Tanze mit mir in den Morgen (Mitternachtstango),Wilhelm Kienzl,Gerhard Wendland
1973,US,Strachborneo v. Arc Music,S.D.N.Y.,MOJO Workout,Got My Mojo Working,Ruth Stratchborneo,McKinley Morganfield
1975,UK,Mood Music v. De Wolfe,Ch. D.,Sogno Nostalgico,Girl in the Dark,Armando Sciascia,Jack Trombey
1976,US,Bright Tunes Music v. Harrisongs Music,S.D.N.Y.,He's So Fine,My Sweet Lord,Ronald Mack,George Harrison
1976,US,Granite Music v. United Artists,9th Cir.,Tiny Bubbles,Hiding the Wine,Leon Pober,Ernest Gold
1976,US,MCA Music v. Earl Wilson,S.D.N.Y.,Boogie Woogie Bugle Boy,The Cunnilingus Champion of Co. C,Don Raye and Hughie Prince,Earl Wilson and Billy Cunningham
1978,US,Ferguson v. National Broadcasting Company,5th Cir.,Jeannie Michele,"Theme from ""A Time to Love""",Wilma Ferguson,John Williams
1978,US,Herald Square Music v. Living Music,S.D.N.Y.,Day by Day,"Theme for N.B.C.'s ""Today Show""",Stephen Schwartz,Ray Ellis
1978,US,Plymouth Music Co. v. Magnus Organ Corp.,S.D.N.Y.,Holiday Polka,Holiday Polka,Anonymous,Anonymous
1978,JP,Harry v. Suzuki,Supreme Court of Japan,The Boulevard of Broken Dreams,One Rainy Night in Tokyo,Harry Warren,Doumei Suzuki
1980,US,Elsmere Music v. N.B.C.,2d Cir.,I Love New York (advertising jingle),National Broadcasting Company,Steve Karman,National Broadcasting Company
1980,DE,Hanseatic Musikverlag v. Bellver Musikverlag,BGH [Federal Court of Justice],Dirlada,Loop Di Love,Pantelis Ghinnis,Juan Bastos
1980,US,Testa v. Janssen,W.D. Pa.,Kept on Singing,Keep on Singing,Philip J. Lipari,Danny Janssen and Bobby Hart
1982,CA,Gondos v. Hardy,Ontario Supreme Court,Variations,"The Homecoming, Moment of Love",Ivan Gondos,"Hagood Hardy, Rudy and Jerry Toth"
1984,US,Selle v. Gibb,7th Cir.,Let It End,Barry Gibb et al.,Ronald Selle,Barry Gibb et al.
1984,US,Pendleton v. Acuff-Rose,M.D. Tenn.,Just a Blue Box,Mama’s Shoe Box,Howard Leslie Pendleton,Elizabeth Jane Anderson
1985,US,"Cream Records, Inc. v. Jos. Schlitz Brewing Co.",9th Cir.,The Theme From Shaft,TV Ad for Schlitz Beer,Isaac Hayes,Benton and Bowles
1985,UK,Lawson v. Dundas,,Channel 4 Jingle,Channel 4 Jingle,David Lawson,David Dundas
1985,US,Dixon v. Atlantic Recording Corp.,S.D.N.Y.,I Need Love,Whole Lotta Love,William Dixon,Led Zeppelin
1986,US,Anheuser Busch v. Elsmere Music,S.D.N.Y.,Budweiser Beer Commercial (1970s),Budweiser Beer Commercial (1985),Steve Karmen,Gavin Spencer
1986,US,Benson v. Coca-Cola,11th Cir.,Don't Cha Know,I'd Like to Buy the World a Coke,John Benson,Coca-Cola Company
1986,US,Fisher v. Dees,9th Cir.,When Sunny Gets Blue,When Sonny Sniffs Glue,Marvin Fisher and Jack Segal,Rick Dees
1987,US,Baxter v. MCA,9th Cir.,Joy,Theme from 'E.T.',Leslie Baxter,John Williams
1987,US,Siskind v. Newton-John,S.D.N.Y.,Take a Chance on Love,Take a Chance,Laura Siskind,Olivia Newton-John
1987,CA,Verge v. Imperial Oil Ltd.,,It's a Brand New World,Hockey Night Theme,Cyril Verge,Steven Benderoth
1987,UK,Warner Bros. v. Dundas,Ch. D.,Martha,Advertisement for Kenco Coffee,Tom Waits,David Dundas
1987,UK,Williamson v. Pearson Partnership,Ch. D.,"""There is Nothing Like a Dame""",Advertisement for Rapid Coach Service,Rogers & Hammerstein,Denis King
1988,US,Gaste v. Morris Kaiserman,2d Cir.,Pour Toi,Feelings,Louis Gaste,Morris Kaiserman
1988,DE,Magazine-Music Verlag v. Ralph Siegel,BGH [Federal Court of Justice],Alle Liebe dieser Erde; Un canto a galicia,Ein bisschen Frieden,Julio Iglesias,Nicole
1988,DE,Edition Magazine Music v. Sony ATV,BGH [Federal Court of Justice],…wie ein Kind,Fantasy,Katy Kassay,"Earth, Wind & Fire"
1989,AU,CBS Records Australia v. Guy Cross,Fed. Ct. Aus.,Ring My Bell (CBS Version),Ring My Bell (Trackdown Version),Collette Roberts,Guy Cross
1990,US,Queen & David Bowie v. Vanilla Ice,,Under Pressure,Ice Ice Baby,Queen & David Bowie,Vanilla Ice
1990,US,Dawson v. Hinshaw Music,4th Cir.,Ezekiel Saw De Wheel,Ezekiel Saw De Wheel,William Dawson (Arr.),Gilbert Martin (Arr.)
1990,US,Levine v. McDonald's Corp.,S.D.N.Y.,Life is a Rock (But the Radio Rolled Me,Menu Song,Paul DiFranco and Norman Dolph,McDonalds Corp.
1990,US,Black v. Gosdin,M.D. Tenn.,The Jukebox,Set 'Em Up Joe,Damon Black,Vern Gosdin
1991,CA,Grignon v. Roussel,Federal Court of Canada,Chanson Numero 7,Tous Les Juke-box,Rene Grignon,Jean-Alain Roussel
1991,US,Grand Upright v. Warner,S.D.N.Y.,Alone Again (Naturally),Alone Again,"Raymond ""Gilbert"" O'Sullivan",Biz Markie
1991,US,Intersong-USA v. CBS,S.D.N.Y.,Es,Hey,Enrique Chia,"Mario Balducci, Julio Iglesias"
1991,US,McDonald v. Multimedia Entertainment,S.D.N.Y.,"Proposed Theme Music for ""Sally Jesse Raphael Show""","Theme Music for ""Sally Jesse Raphael Show""",Gerard McDonald,Dan Radlauer
1991,DE,Enigma v. Phlegma 1991,OLG Munich,Sadeness I,Madness I,Enigma,Phlegma
1991,DE,EMI U Catalog Inc. v. Far Musikverlag,BGH [Federal Court of Justice],There´s a Brown Girl in the Ring,Brown Girl in the Ring,Tony McKay aka Exuma,Boney M.
1991,DE,Herbolzheimer v. Farian,BGH [Federal Court of Justice],Brown Girl,Brown Girl in the Ring,Malcolm’s Lock,Boney M.
1992,US,Chiate v. Morris,9th Cir.,Hello It's Me / I Just Called to Say,I Just Called to Say I Love You,Lloyd Chiate,Stevland Morris
1992,US,Moore v. Columbia Pictures,8th Cir.,She Can't Stand It,"On Our Own (from ""Ghostbusters II"")",Derrick D. Moore,Antonio Reid and Kenny Edmonds
1993,UK,EMI Music v. Papathanasiou,Ch. D.,City of Violets,"Theme from ""Chariots of Fire""",Stavros Logarides,Evangelos Papathanasiou
1993,US,Jarvis v. A & M Records,D.N.J.,The Music's Got Me,Get Dumb! (Free Your Body),Boyd Jarvis,Robert Clivilles and David Cole
1993,US,Tempo Music v. Famous Music,S.D.N.Y.,Satin Doll,,"Duke Ellington, Billy Strayhorn, Johnny Mercer",
1993,US,Sylvestre v. Oswald,S.D.N.Y.,Heaven,Heaven,Michael Sylvestre and Dougals Richwine,Jani Lane
1993,FR,Les Inconnus v. Parker,TGI [Tribunale de grande instance] Paris,Auteuil Neuilly Passy,Southwick,Les Inconnus,Maceo And All The King's Men
1994,CA,Drynan v. Rostad,Ontario Court of Justice,Filion Family Welcome,Here We Are On the Road Again,James Drynan,Wayne Rostad
1994,US,Campbell v. Acuff-Rose,Supreme Court,"Oh, Pretty Woman","Oh, Pretty Woman",Williams Dees and Roy Orbison,Luther Campbell
1994,US,Fantasy v. Fogerty,Supreme Court,Run Through the Jungle,The Old Man Down the Road,John Fogerty,John Fogerty
1994,US,Tin Pan Apple v. Miller Brewing,S.D.N.Y.,Stick 'em,TV ad for Miller Lite,Morales and Robertson [Fat Boys],Miller Brewing Co.
1995,US,Crystal Cartier v. Michael Jackson,10th Cir.,Dangerous,Dangerous,Crystal Cartier,Michael Jackson
