case_id,year,country,case_name,link,court,complaining_work,complaining_author,defending_work,defending
117,1995,US,Woods v. Bourne,https://blogs.law.gwu.edu/mcir/case/woods-v-bourne/,2d Cir.,"When the Red, Red, Robin Comes Bob, Bob, Bobbin' Along",Harry Woods,,
118,1996,US,Palmieri v. Estefan,https://blogs.law.gwu.edu/mcir/case/palmieri-v-estefan/,2d Cir.,Paginas De Mujer,Eddie Palmieri,Oye Mi Canto,Gloria Estefan
119,1996,US,Santrayll v. Burrell,https://blogs.law.gwu.edu/mcir/case/santrayll-v-burrell/,S.D.N.Y.,Uh Oh,Rene Santrayll & Michael Walker,"Pepsi Ad featuring ""Hammer""",Stanley Kirk Burrell
120,1996,US,Smith v. Michael Jackson,https://blogs.law.gwu.edu/mcir/case/smith-v-michael-jackson/,9th Cir.,Don't Let the Sunshine / Happy Go Lucky Girl,Robert Smith and Reynard Jones,The Girl is Mine,Michael Jackson
121,1997,US,Damiano v. Sony,https://blogs.law.gwu.edu/mcir/case/damiano-v-sony/,D.N.J.,Miscellaneous lyrics and instrumental arrangement,James Damiano,Dignity,Bob Dylan
122,1997,US,McRae v. Smith,https://blogs.law.gwu.edu/mcir/case/mcrae-v-smith/,D. Colo.,"Every Minute, Every Hour, Every Day",Maree McRae,Every Second,Wayne Perry and Gerald Smith
123,1997,US,Repp v. Webber,https://blogs.law.gwu.edu/mcir/case/repp-v-webber/,2d Cir.,Till You,Ray Repp,Phantom Song,Andrew Lloyd-Webber
124,1997,US,Tuff 'N' Rumble v. Profile Records,https://blogs.law.gwu.edu/mcir/case/tuff-n-rumble-v-profile-records/,S.D.N.Y.,Impeach the President,Robert Plant et al.,Back from Hell,Joseph Simmonds et al.
125,1999,US,BTE v. Bonnecaze,https://blogs.law.gwu.edu/mcir/case/bte-v-bonnecaze/,E.D. La.,Coyote,"Kevin Griffin, et al.",,
126,1999,US,Ellis v. Diffie,https://blogs.law.gwu.edu/mcir/case/ellis-v-diffie/,6th Cir.,Lay Me Out By the Jukebox When I Die,Everett Ellis,Prop Me Up Beside the Jukebox (If I Die),Joe Diffie
127,1999,US,Selletti v. Carey,https://blogs.law.gwu.edu/mcir/case/selletti-v-carey/,2d Cir.,Hero,Christopher Selletti,Hero,Mariah Carey
128,1999,US,Suzane McKinley v. Collin Raye,https://blogs.law.gwu.edu/mcir/case/suzane-mckinley-v-collin-raye/,N.D.Tex.,I Think About You,Suzane McKinley,I Think About You,Steve Seskin & Collin Raye
129,1999,US,ZZ Top v. Chrysler Corp.,https://blogs.law.gwu.edu/mcir/case/zz-top-v-chrysler-corp/,W.D. Wa.,La Grange,"Billy Gibbons, et al.",Promotional video for Plymouth Prowler,Chrysler Corporation
130,1999,DE,Anzilotti v. Hildenbeutel,https://blogs.law.gwu.edu/mcir/case/luca-anzilotti-et-al-v-ralf-hildenbeutel-et-al/,OLG [Higher State Court] Munich,Green Grass Grows (Earth follows),Snap!,Superstring,Cygnus X
131,2000,US,Armstrong v. Virgin Records,https://blogs.law.gwu.edu/mcir/case/armstrong-v-virgin-records/,S.D.N.Y.,Planetary Citizen,"John McLaughlin, et al.",Unfinished Sympathy,"Robert Del Naja, et al"
132,2000,US,Three Boys Music v. Michael Bolton,https://blogs.law.gwu.edu/mcir/case/three-boys-music-v-michael-bolton/,9th Cir.,Love is a Wonderful Thing,Isley Brothers,Love is a Wonderful Thing,Michael Bolton and Andrew Goldmark
133,2000,US,Tisi v. Patrick,https://blogs.law.gwu.edu/mcir/case/tisi-v-patrick/,S.D.N.Y.,Sell Your Soul,Michael Tisi,Take A Picture,Richard Patrick
134,2000,FR,Bouffard v. Ministère Public,https://blogs.law.gwu.edu/mcir/case/bouffard-v-ministere-public/,Cour d’Appel [Regional Court of Appeal] Toulouse,Various pop songs in SACEM catalog,,Mashups of various songs in SACEM catalog,
135,2000,FR,"Cooper v. Ogilvy & Mather, et al.",https://blogs.law.gwu.edu/mcir/case/cooper-v-ogilvy-mather-et-al/,Tribunal de grande instance,The Lower we Fly,Matthew Cooper,"""Pond's Nutrivits"" ads",Ogilvy & Mather
136,2001,US,Oliviera v. Frito-Lay,https://blogs.law.gwu.edu/mcir/case/oliviera-v-frito-lay-et-al/,2nd Cir.,Girl from Ipenama,Astrud Gilberto,Frito-Lay TV ad,Frito-Lay Corp.
137,2001,IT,Albano Carrisi v. Michael Jackson,https://blogs.law.gwu.edu/mcir/case/albano-carrisi-v-michael-jackson/,Corte app. (Rome),I cigni di Balaka,Albano Carrisi,Will You be There?,Michael Jackson
138,2001,US,Marlon Williams v. Calvin Broadus,https://blogs.law.gwu.edu/mcir/case/marlon-williams-v-calvin-broadus/,S.D.N.Y.,The Symphony,Marlon Williams,Ghetto Symphony,Calvin Broadus
139,2001,US,Johnson v. Berry,https://blogs.law.gwu.edu/mcir/case/johnson-v-berry-2/,E.D. Mo.,Wee Wee Hours,Chuck Berry and Johnnie Johnson,N/A,N/A
140,2001,US,Toliver v. Sony Music,https://blogs.law.gwu.edu/mcir/case/toliver-v-sony-music/,D. Alaska,Independent Lady,Paula Toliver,Independent Women,Destiny's Child
141,2002,UK,Creagh v. Hit and Run Music,https://blogs.law.gwu.edu/mcir/case/creagh-v-hit-and-run-music/,Ch. Div.,Where are You Now,Marianne Creagh,Where are You,"Simon Stirling, et al."
142,2002,US,Jean et al. v. Bug Music,https://blogs.law.gwu.edu/mcir/case/jean-et-al-v-bug-music/,S.D.N.Y.,Hand Clapping Song,"Leo Nocentelli, et al.",My Love is Your Love,Nel Wyclef Jean and Jerry Duplessis
143,2002,UK,Malmstedt v. EMI Records,https://blogs.law.gwu.edu/mcir/case/malmstedt-v-emi-records/,Ch. D.,Jenny and I,Stephan Malmstedt,Sleeping in my Car,Per Gessle
144,2002,DE,Weh v. Universal Music Publishing,https://blogs.law.gwu.edu/mcir/case/weh-v-universal-music-publishing-2/,LG [State Court] Munich,Heartbeat,WEH,Get Over You,Sophie Ellis-Bextor
145,2003,US,Cottrill v. Spears,https://blogs.law.gwu.edu/mcir/case/cottrill-v-spears/,E.D. Pa.,What You See is What You Get,Michael Cottrill and Lawrence Wnukowski,"What U See is What U Get, Can't Make You Love Me","Jorgen Elufsson, David Kreuger, Per Magnusson, Rami Yacoub"
146,2003,US,Newton v. Diamond,https://blogs.law.gwu.edu/mcir/case/newton-v-diamond/,9th Cir.,Choir,James W. Newton,Pass the Mic,"Adam Yauch, et al."
147,2003,US,Ory v. Country Joe McDonald,https://blogs.law.gwu.edu/mcir/case/ory-v-country-joe-mcdonald/,C.D. Cal.,Muskrat Ramble,"Edward ""Kid"" Ory",I Feel Like I'm Fixin' to  Die Rag,Joe McDonald
148,2003,US,Jorgensen v. Epic/Sony Records,https://blogs.law.gwu.edu/mcir/case/jorgensen-v-epicsony-records/,2d Cir.,Long Lost Lover,John L. Jorgensen,"My Heart Will Go On, Amazed","James Horner, Will Jennings, Chris Lindsey, Aimee Mayo and Marv Green"
149,2003,DE,Ergin v. Kershaw,https://blogs.law.gwu.edu/mcir/case/in-re-ergin/,OLG [Higher State Court] Hamburg,Jingle of German bank: “Wenn’s ums Geld geht-Sparkasse”,"Mehmet Ergin, Christoph Lienemann",Wouldn't It Be Good,[Unknown Composer]
150,2003,JP,Kobayashi v. Hatorri,https://blogs.law.gwu.edu/mcir/case/kobayashi-v-hatorri/,Supreme Court of Japan,Dokomademo Ikou [Let's Go Anywhere],Asei Kobayashi,Kinenju [Memorial Tree],Katsuhisa Hattori
151,2004,PRC,Apollo v. Coca Cola,https://blogs.law.gwu.edu/mcir/case/apollo-inc-v-coca-cola-china-inc/,Beijing District Court,When the Sun Rises,Apollo Inc.,Sunrise,Coca-Cola (China) Inc.
152,2004,US,Swirsky v. Carey,https://blogs.law.gwu.edu/mcir/case/swirsky-v-carey/,9th Cir.,One of Those Love Songs,Seth Swirsky and Warryn Campbell,Thank God I Found You,Mariah Carey
153,2004,ZU,"Disney Enterprises, Inc. v. S.G. Griesel",https://blogs.law.gwu.edu/mcir/case/sample-griesel-v-disney-inc/,High Court of South Africa,Mbube,Soloman Ntsele [p/k/a/ Linda],The Lion Sleeps Tonight,"Pete Seger et al. (From Disney's 1997 Broadway musical ""The Lion King"")"
154,2004,US,Ulloa v. Universal,https://blogs.law.gwu.edu/mcir/case/ulloa-v-universal/,S.D.N.Y.,Brief countermelody to defendant's song,Demme Ulloa,Izzo (H.O.V.A.),Shawn Carter
155,2005,US,BMS Entertainment v. Bridges,https://blogs.law.gwu.edu/mcir/case/bms-entertainment-v-bridges/,S.D.N.Y.,Straight Like That,"Ramid Brown, et al.",Stand Up,Christopher Bridges
156,2005,US,"Bridgeport Music v. Dimension Films, et al.",https://blogs.law.gwu.edu/mcir/case/bridgeport-music-v-dimension-films-et-al/,6th Cir.,Get Off Your Ass and Jam,George Clinton,100 Miles and Runnin',"Eric Wright, et al."
157,2005,UK,Coffey v. Warner/Chappell Music,https://blogs.law.gwu.edu/mcir/case/coffey-v-warnerchappell-music/,Ch. D.,Forever After,Elizabeth Coffey,Nothing Really Mattters,Patrick Leonard & Madonna Ciccone
158,2005,US,Griffin v. J-Records,https://blogs.law.gwu.edu/mcir/case/griffin-v-j-records/,E.D. Wash.,Heart of Gold,Tia Griffin,Dance With My Father,"Richard Marx, Luther Vandross"
159,2005,US,Johnson v. Gordon,https://blogs.law.gwu.edu/mcir/case/johnson-v-gordon/,1st Cir.,You’re the One (For Me),Calvin R. Johnson,You’re the One,"Allen Gordon Jr., et al."
160,2005,US,Positive Black Talk v. Cash Money Records,https://blogs.law.gwu.edu/mcir/case/positive-black-talk-v-cash-money-records/,5th Cir.,Back That Ass Up,"Jerome Temple (""Jubilee"")",Back That Azz Up,"Terius Gray (""Juvenile"")"
161,2005,US,Vargas v. Pfizer,https://blogs.law.gwu.edu/mcir/case/vargas-v-pfizer/,S.D.N.Y.,Bust Dat Groove Without Ride,Ralph Vargas and Bland-Ricky Roberts,Advertisement for Celebrex,"Brian Transeau, et al."
162,2005,PRC,Yong Wang v. Zhengben Zhu,https://blogs.law.gwu.edu/mcir/case/yong-wang-v-zhengben-zhu/,"Beijing Court of Appeals, First District",Send My Comrade to Beijing,Yong Wang,Farewell to the Red Army,Zhengben Zhu
163,2005,IT,Bacalov v. Endrigo,https://blogs.law.gwu.edu/mcir/case/bacalov-v-enrigo/,Cass. civ.,Nelle mie notti,Sergio Endrigo,Il Postino,Luis Bacalov
164,2006,US,Boone v. Jackson,https://blogs.law.gwu.edu/mcir/case/boone-v-jackson/,2d Cir.,Holla Back,"Carl Boone (""Trajik"")",Young 'N,"John Jackson (""Fabolous"")"
165,2006,US,Tilford v. Jones,https://blogs.law.gwu.edu/mcir/case/tilford-v-jones-2/ ,S.D. Tex,Still Tippin',Bradley Tilford,Still Tippin',"Michael Jones, et al."
166,2007,US,Armour v. Knowles,https://blogs.law.gwu.edu/mcir/case/armour-v-knowles/,5th Cir.,Got a Little Bit of Love for You,Jennifer Armour,Baby Boy,Beyoncé Knowles
167,2007,US,Bridgeport Music v. Combs,https://blogs.law.gwu.edu/mcir/case/bridgeport-music-v-combs/,6th Cir.,Singing in the Morning,"Robert Jones, et al.",Ready to Die,Christopher Wallace
168,2007,US,"Lil' Joe Wein Music, Inc. v. Jackson",https://blogs.law.gwu.edu/mcir/case/lil-joe-wein-music-inc-v-jackson/,11th Cir.,It's Your Birthday,Luther Campbell,In Da Club,"Curtis James Jackson aka ""50 Cent"""
169,2007,TWN,People v. Hu,https://blogs.law.gwu.edu/mcir/case/people-v-hu/,Taiwan Pingtong Appellate Court,Lianshang Love Song,Lo,Bye Bye My Lover!,Hu
170,2007,US,Vargas v. Transeau,https://blogs.law.gwu.edu/mcir/case/vargas-v-transeau/,S.D.N.Y.,Aparthenonia,Ralph Vargas and Bland-Ricky Roberts,Bust Dat Groove Without Ride,Brian Transeau
171,2007,US,Velez v. Sony Discos,https://blogs.law.gwu.edu/mcir/case/velez-v-sony-discos/,S.D.N.Y.,Hasta Hoy,Victor Velez,Tengo Ganas,Victor Manuelle
172,2007,US,Lester v. U2,https://blogs.law.gwu.edu/mcir/case/lester-v-u2/,C.D. Cal.,Nowhere Fast,Chris Lester,Vertigo,U2 (band)
173,2007,PRC,"Huang Nenghua, et al. v. China Record Shanghai Co., Ltd.",https://blogs.law.gwu.edu/mcir/case/huang-nenghua-et-al-v-china-record-shanghai-co-ltd/,Shanghai Interm. People’s Court,"Arrangements of Chinese Operas, including: The Mother as Slave",Xu Ruhui,"Recording of popular vocal numbers from Chinese Operas, including a portion of The Mother as Slave",Yang Feifei
174,2008,US,Glover v. Austin,https://blogs.law.gwu.edu/mcir/case/glover-v-austin/,2d Cir.,Make Up Your Mind,Corey Glover,Unpretty,"Tionne Watkins, et al."
175,2008,DE,"Winter v. Moore, et al.",https://blogs.law.gwu.edu/mcir/case/winter-v-moore-et-al/,Munich Distr. Ct.,Nordrach,"Jurgen Winter, et al., (a.k.a. ""Jud's Gallery"")",Still Got the Blues,Gary Moore
176,2008,IN,Sampath v. Roshan,https://blogs.law.gwu.edu/mcir/case/ram-sampath-v-rakesh-roshan-ors/,Bom. HC,The Thump,Ram Sampath,Krazzy 4 (Remix) & Breakfree (Remix),Vishal Dadlani
177,2009,US,Allen v. Destiny's Child,https://blogs.law.gwu.edu/mcir/case/allen-v-destinys-child/,N.D. Ill.,Cater 2 U,Rickey Allen,Cater 2 U,Destiny's Child
178,2009,US,Brainard v. Vassar,https://blogs.law.gwu.edu/mcir/case/brainard-v-vassar/,M.D.Tenn.,Good Ol' Days to Come,Dustin Evans,Good Ole Days,Phil Vassar
179,2009,US,"Steele v. Bongiovi, et al.",https://blogs.law.gwu.edu/mcir/case/samuel-steele-v-jon-bongiovi-et-al/,D. Mass.,Man I Really Love This Team,Samuel Steele,I Love This Town,Jon Bongiovi
180,2009,US,"Bridgeport Music, Inc. v. UMG Recordings, Inc",https://blogs.law.gwu.edu/mcir/case/bridgeport-music-inc-v-umg-recordings-inc/,6th Cir.,Atomic Dog,George Clinton,D.O.G. In Me,"Robert Kelly, et al. (""Public Announcement"")"
181,2009,US,Jones v. Blige,https://blogs.law.gwu.edu/mcir/case/jones-v-blige/,6th Cir.,Party Ain't Crunk,Leonard Jones and James E. White,Family Affair,Mary J. Blige
182,2009,US,"Joe Satriani v. Christopher Martin, et al. [Coldplay]",https://blogs.law.gwu.edu/mcir/case/inplay-joe-satriani-v-christopher-martin-et-al-coldplay/,C.D. Cal.,If I Could Fly,Joe Satriani,Viva la Vida,Christopher Martin et al. [Coldplay]
183,2009,DE,Weh v. Universal Music Publishing,https://blogs.law.gwu.edu/mcir/case/weh-v-universal-music-publishing/,KG [Higher State Court] Berlin,Heartbeat,WEH,Get Over You,Sophie Ellis-Bextor
184,2010,US,"Currin v. Pharrell Williams, et al.",https://blogs.law.gwu.edu/mcir/case/currin-et-al-v-arista-records-inc-et-al/,D. Conn.,I'm Frontin',David & Peter Currin,Frontin,Pharrell Williams
185,2010,AU,Larrikin Music Publishing Ltd. v. EMI Songs Australia Ltd.,https://blogs.law.gwu.edu/mcir/case/larrikin-music-publishing-ltd-v-emi-songs-australia-plty-ltd/,Fed. Ct. Aus.,Kookaburra Sits in the Old Gum Tree,Marion Sinclair,Down Under,"Colin Hay (""Men At Work"")"
186,2010,US,Marshall v. Huffman,https://blogs.law.gwu.edu/mcir/case/marshall-v-huffman/,N.D. Cal.,You are the One,Preston Marshall,My Love,"John Huffman, Real Content Media Group, Mariah Carey"
187,2010,US,"Prunte v. Universal Music Group Inc., et al.",https://blogs.law.gwu.edu/mcir/case/prunte-v-universal-music-group-inc-et-al/,D.C. Cir.,"Fire in Da Hole, Plus Others",Robert R. Prunte,"Fire in the Hole, Plus Others","Black Rob, et al."
188,2010,US,Martel Ellis v. Wyclef Jean,https://blogs.law.gwu.edu/mcir/case/inplay-martel-ellis-v-wyclef-jean/,S.D.N.Y.,Danger,Martel Ellis,Welcome to the East,Wyclef Jean
189,2010,US,"Ebony Latrice Batts v. William Adams, et al. [“Black Eyed Peas”]",https://blogs.law.gwu.edu/mcir/case/inplay-ebony-latrice-batts-v-william-adams-et-al-black-eyed-peas/,C.D. Cal.,Boom Dynamite,Ebony Latrice Batts aka “Phoenix Phenom”,Boom Boom Pow,"William Adams, et al. [“Black Eyed Peas”]"
190,2010,US,"Holmes v. Page, et al.",https://blogs.law.gwu.edu/mcir/case/holmes-v-page-et-al/,C.D. Cal.,Dazed and Confused,Jake Holmes,Dazed and Confused,Led Zeppelin
191,2011,US,"Ernest Straughter v. Usher Raymond, et al.",https://blogs.law.gwu.edu/mcir/case/inplay-ernest-straughter-v-usher-raymond-et-al/,C.D. Cal.,The Reasons Why,Ernest Straughter,Burn,"Usher Raymond, et al."
192,2011,US,Pyatt v. Raymond,https://blogs.law.gwu.edu/mcir/case/pyatt-v-raymond/,S.D.N.Y.,Caught Up,Wadena Pyatt,Caught Up,Usher Raymond
193,2011,US,Lessem v. Taylor,https://blogs.law.gwu.edu/mcir/case/lessem-v-taylor2/,S.D.N.Y.,Elevator,"Ryan Lessem, Douglas Johnson",How We Do,"Jayceon Taylor (“The Game”), Andre Young (“Dr. Dre”), Michael Elizondo, Curtis Jackson (“50 Cent”)"
194,2011,US,"Saregama India v. Timothy Mosley, et al.",https://blogs.law.gwu.edu/mcir/case/saregama-india-v-timothy-mosley-et-al/,11th Cir.,Baghon Mein Behar Hai,Anonymous,Put You on the Game,"Timothy Mosley, aka ""Timbaland"""
195,2011,DE,"Eight Mile Style [Marshall Mathers, aka Eminem” v. Audi GmbH",https://blogs.law.gwu.edu/mcir/case/inplay-eight-mile-style-marshall-mathers-aka-eminem-v-audi-gmbh/,Hamburg Regional Court,Advertisement for Chrysler Corp.,Marshall Mathers [aka “Eminem”],​Advertisement for Audi A6 “Avant”,Audi GmbH
196,2011,DE,Obinger v. McDonald's,https://blogs.law.gwu.edu/mcir/case/obinger-v-mcdonalds/,OLG [Higher State Court] Munich,,Stephan Obinger,McDonald's-Jingle,McDonald's Corporation
197,2011,US,Stokes v. Stephens,https://blogs.law.gwu.edu/mcir/case/stokes-v-stephens/,D.N.J.,Where are You Now?,Anthony Stokes,Maxine's Interlude,John Legend
198,2012,US,"Lyles v. Capital - EMI Music, Inc., et al.",https://blogs.law.gwu.edu/mcir/case/lyles-v-capital-emi-music-inc-et-al/,S.D. Ohio,Without You,Bruce Lyles,Without You,David Guetta
199,2012,US,Peters v. West,https://blogs.law.gwu.edu/mcir/case/vincent-peters-v-kanye-west-et-al/,7th Cir.,Stronger,Vince Peters,Stronger,Kanye West
200,2012,TWN,People v. Xinru Wang,https://blogs.law.gwu.edu/mcir/case/people-v-xinru-wang/,Taiwan Shilin District Court,What Is Wrong with Love,Meiru Huang,Sleeping Beauty,Xinru Wang
201,2012,US,Done Deal v. Carter,https://blogs.law.gwu.edu/mcir/case/done-deal-ent-v-carter/,S.D.N.Y.,Bedrock,William Keith,Bedrock,"Dwayne Carter, aka Lil Wayne"
202,2012,US,Poindexter v. EMI Record Group,https://blogs.law.gwu.edu/mcir/case/robert-poindexter-v-emi-record-group/,S.D.N.Y.,Thin Line Between Love and Hate,"Robert Poindexter, et al.",Washed Away,EMI Record Group
203,2012,PRC,Rui Hua Wang v. Qi Gang Chen,https://blogs.law.gwu.edu/mcir/case/rui-hua-wang-v-qi-gang-chen-et-al/,Sup. Ct. Beijing,You and Me,Rui Hua Wang,You and Me,Qi Gang Chen
204,2012,US,Black Keys v. Home Depot and Pizza Hut,https://blogs.law.gwu.edu/mcir/case/inplay-black-keys-v-home-depot-and-pizza-hut/,C.D. Cal.,Lonely Boy; Gold on the Ceiling,Daniel Auerbach and Patrick Carney,Advertisement for Home Depot; Advertisement for Pizza Hut,
205,2012,US,Erickson v. Blake,https://blogs.law.gwu.edu/mcir/case/erickson-v-blake/,D. Or.,Pi Symphony,Lars Erickson,What Pi Sounds Like,Michael John Blake
206,2012,,"Barobax v. Chakraborty, et al.",https://blogs.law.gwu.edu/mcir/case/inplay-barobax-v-chakraborty-et-al/,,Soosan Khanoom,Kevian Haghgoo et al.,Pyaar Ki Pungi,Pritam Chakraborty
207,2013,US,Hobbs v. John,https://blogs.law.gwu.edu/mcir/case/hobbs-v-john/,7th Cir.,Natasha,Guy Hobbs,Nikita,Elton John
208,2013,US,Loomis v. Cornish,https://blogs.law.gwu.edu/mcir/case/loomis-v-cornish/,C.D. Cal.,Bright Red Chords,Will Loomis,Domino,Jessica Cornish
209,2013,US,"Twilight Records v. Raymond, et al.",https://blogs.law.gwu.edu/mcir/case/twilight-records-v-raymond-et-al/,N.D. Ill.,Syl Johnson,Usher Raymond,Different Strokes,Call Me a Mack
210,2013,US,"Love v. Universal Music Group, Inc.",https://blogs.law.gwu.edu/mcir/case/love-et-al-v-universal-music-group-inc/ ,W.D. Mo.,I'm Doing My Job,Bloodstone,Doin My Job,Kanye West
211,2014,US,"Francescatti v. Germanotta [""Lady Gaga""]",https://blogs.law.gwu.edu/mcir/case/rebecca-francescatti-v-stefani-germanotta-aka-lady-gaga/,N.D. Ill.,Juda,Rebecca Francescatti,Judas,Stefani Germanotta
212,2014,US,"Pringle v. Adams [""Black Eyed Peas""]",https://blogs.law.gwu.edu/mcir/case/bryan-pringle-v-william-adams-et-al-black-eyed-peas/,9th Cir.,Take a Drive,Brian Pringle,I Gotta Feeling,"William Adams, et al."
213,2014,US,Steward v. Kanye West,https://blogs.law.gwu.edu/mcir/?post_type=case&p=14270&preview=true,C.D. Cal.,Bumpin' Bus Stop,David Pryor,Gold Digger,Kanye West
214,2014,US,"TufAmerica, Inc. v. Warner Bros Music Corp., et al",https://blogs.law.gwu.edu/mcir/case/tufamerica-inc-v-warner-bros-music-corp-et-al/,S.D.N.Y.,"Hook & Sling, Pt. I",Eddie Bo & The Soul Finders,Run This Town,"Shawn Carter (""Jay-Z"") et al."
215,2014,US,Mayimba Music v. Sony,https://blogs.law.gwu.edu/mcir/case/mayimba-music-v-sony-corp-of-america/,S.D.N.Y.,Loca con su Tiguere,Ramon Arias Vasquez,Loca con su Tiguere,Eduard Edwin Bello Pou
216,2014,US,Paul Batiste v. Faheem Rasheed Najm,https://blogs.law.gwu.edu/mcir/?post_type=case&p=10824&preview=true,E.D. La.,I Like Your Way; Blues Man,Paul Batiste,Put It Down; Reggae Nigh,Faheem Rasheed Najm (p/k/a T-Pain)
217,2014,DE,Musikverlag Richard Birnbach v. ZDF,https://blogs.law.gwu.edu/mcir/case/musikverlag-richard-birnbach-v-zdf/,OLG [Higher State Court] Munich,Fanfaren-Blues,"Klaus Wüsthoff, Hans Günter Wagener","""Today"" Jingle",ZDF
218,2015,US,Lane v. Knowles-Carter,https://blogs.law.gwu.edu/mcir/case/lane-v-knowles-carter/,S.D.N.Y.,X.O.X.O.,Ahmad Javon Lane,X.O.,Beyonce Knowles-Carter
219,2015,US,"New Old Music v. Gottwald, et al.",https://blogs.law.gwu.edu/mcir/case/new-old-music-v-gottwald-et-al/,S.D.N.Y.,Zimba ku,Lenny Lee Goldsmith,Price Tag,"Jessica Cornish, et al."
220,2015,US,"Devin Copeland v. Justin Bieber, et al.",https://blogs.law.gwu.edu/mcir/case/devin-copeland-v-justin-bieber-et-al/,4th Cir.,Someone to Love,Devin Copeland,Someone to Love,"Justin Bieber, et al."
221,2015,US,"TufAmerica v. Diamond, et al.",https://blogs.law.gwu.edu/mcir/case/tufamerica-v-diamond-et-al-beastie-boys/,S.D.N.Y.,Say What; Drop the Bomb,Trouble Funk [band],Shadrach; Car Thief; Hold It,"Diamond, Horovitz, et al. [Beastie Boys]"
222,2015,US,"Miles Floyd v. Rod Stewart, et al.",https://blogs.law.gwu.edu/mcir/case/inplay-miles-floyd-v-rod-stewart-et-al/,N.D. Ga.,Corrine Corrina,"American folk song, as performed by Bo Carter",Corrina Corrina,"American folk song, as performed by Rod Stewart"
223,2015,US,"Daniel Marino v. Usher, et al.",https://blogs.law.gwu.edu/mcir/case/inplay-daniel-marino-v-usher-et-al/,E.D. Pa.,,Daniel Marino,Bad Girl,Usher Raymond
224,2015,US,Tom Petty v. Sam Smith,https://blogs.law.gwu.edu/mcir/case/inplay-tom-petty-v-sam-smith/,,I Won't Back Down,Tom Petty and Jeff Lynne,Stay With Me,Sam Smith
225,2015,US,Richard Friedman v. Hans Zimmer,https://blogs.law.gwu.edu/mcir/case/inplay-richard-friedman-v-hans-zimmer/,C.D. Cal.,To Our Fallen,Richard Friedman,Music score for “12 Years a Slave”,Hans Zimmer
226,2015,DE,Dark Sanctuary v. Bushido,https://blogs.law.gwu.edu/mcir/case/dark-sanctuary-v-bushido/,BGH [Federal Court of Justice],Les Memoires Blessées,Dark Sanctuary,Janine,Bushido
227,2015,FR,Johnson v. Goldman,https://blogs.law.gwu.edu/mcir/case/johnson-v-goldman/,Cour de cassation [supreme court for judicial matters],Forever,Jefferson/Jean-François Johnson,Aicha,Jean-Jacques Goldman
228,2015,US,"Guzman v. Hacienda Records, et al.",https://blogs.law.gwu.edu/mcir/case/guzman-v-hacienda-records-inc/,5th Cir.,"Triste Adventura, alternatively known as Cartas de Amor",Jose Guzman,Cartas de Amor,Hacienda Records
229,2015,IT,Universal Music Publishing v. Sony BMG Music Entertainment,https://blogs.law.gwu.edu/mcir/case/universal-music-publishing-v-sony-bmg-music-entertainment/,Cass. civ.,Zingara,Enrico Riccardi and Luigi Albertelli,"Prendi questa mano, zingara",Francesco De Gregori
230,2016,US,Fahmy v. Jay Z et al.,https://blogs.law.gwu.edu/mcir/case/fahmy-v-jay-z-et-al/,C.D. Cal.,"Khosara, Khosara",Baligh Hamdi,Big Pimpin',Jay Z et al.
231,2016,US,Bowen v. Paisley,https://blogs.law.gwu.edu/mcir/case/bowen-v-paisley/,M.D. Tenn.,Remind Me,Amy Bowen,Remind Me,"Brad Paisley, et al"
232,2016,US,"VMG Salsoul v Madonna Ciccone, et al.",https://blogs.law.gwu.edu/mcir/case/vmg-salsoul-llc-v-madonna-louise-ciccone-et-al/,9th Cir.,Chicago Bus Stop,"Vincent Montana, Richard Pettibone",Vogue,"Madonna Ciccone, Richard Pettibone"
233,2016,US,"McDonald v. West, et al.",https://blogs.law.gwu.edu/mcir/case/joel-mcdonald-v-kanye-west-et-al/,2d Cir.,Made in America,Joel McDonald,Made in America,"Kanye West, et al."
234,2016,US,We Shall Overcome Foundation v. Richmond Foundation & Ludlow Music,https://blogs.law.gwu.edu/mcir/case/we-shall-overcome-foundation-v-richmond-organization-ludlow-music/,S.D.N.Y,We Shall Overcome,African-American Spiritual,NA,NA
235,2016,US,"Alisa Apps v. Universal Music, et al.",https://blogs.law.gwu.edu/mcir/case/inplay-alisa-apps-v-universal-music-et-al/,D. Nev.,Need to Know,Alisa Apps,Love Me Again,John Newman
236,2016,US,Arnett v. Alan Jackson & Sony Music,https://blogs.law.gwu.edu/mcir/case/inplay-arnett-v-alan-jackson-sony-music/,E.D.N.C.,Remember Me,Timothy Arnett,Remember When,Alan Jackson
237,2016,US,"BMG v. Atlantic Recording Organization, et al.",https://blogs.law.gwu.edu/mcir/case/inplay-bmg-v-atlantic-recording-organization-et-al/,S.D.N.Y.,Came to Do,"Joseph Bereal, et al.",Post to Be,"Omari Ishmael Grandberry, aka “Omarion”"
238,2016,US,"Eric Smith, et al. v. Amanda Jiroux, et al.",https://blogs.law.gwu.edu/mcir/case/inplay-eric-smith-et-al-v-amanda-jiroux-et-al/,C.D. Cal.,No Rain,"Eric  Smith, et al.",Insane,Amanda Jiroux
239,2016,US,"Gabor Presser v. Kanye West, et al.",https://blogs.law.gwu.edu/mcir/case/inplay-gabor-presser-v-kanye-west-et-al/,S.D.N.Y.,Gyongyhaju Lany,Gabor Presser & Anna Adamis,New Slaves,Kanye West
