case_id,year,country,case_name,link,court,complaining_work,complaining_author,defending_work,defending
30,1942,US,Carew v. R.K.O. Radio Pictures,https://blogs.law.gwu.edu/mcir/case/carew-v-r-k-o-radio-pictures/,S.D. Cal.,Chatterbox,Evelyn Carew,Chatterbox,Jerome Brainan
31,1942,US,McMahon v. Harms,https://blogs.law.gwu.edu/mcir/case/mcmahon-v-harms/,S.D.N.Y.,In Sunny Kansas,Joseph McMahon,Love Sends A Little Gift of Roses,John Openshaw
32,1943,US,Arnstein v. Broadcast Music,https://blogs.law.gwu.edu/mcir/case/arnstein-v-broadcast-music/,2d Cir.,Whisper to Me,Ira Arnstein,It All Comes Back to Me Now,Hy Zaret et al.
33,1943,US,Arnstein v. Twentieth Century Fox,https://blogs.law.gwu.edu/mcir/case/arnstein-v-twentieth-century-fox-film/,S.D.N.Y.,Kalamazoo,Ira Arnstein,I've Got a Gal in Kalamazoo,Harry Warren
34,1944,US,"Gingg v. Twentieth Century Fox Film Corp, et al.",https://blogs.law.gwu.edu/mcir/case/gingg-v-twentieth-century-fox-film-corp-et-al/,S.D. Cal.,There'll Never Be Another You,Allamae Britton Gingg,There Will Never Be Another You,Mack Gordon and Harry Warren
35,1944,US,Edward B. Marks Music Corp. v. Jerry Vogel Music Co.,https://blogs.law.gwu.edu/mcir/case/edward-b-marks-music-corp-v-jerry-vogel-music-co/,2d Cir.,December and May,Edward B. Marks,,
36,1945,US,Brodsky v. Universal Pictures Company,https://blogs.law.gwu.edu/mcir/case/brodsky-v-universal-pictures-company/,2d Cir.,Prelude in A Major,Samuel Brodsky,Bad Lands of Dakota,Hans Salter
37,1945,US,Jewel Music v. Leo Feist,https://blogs.law.gwu.edu/mcir/case/jewel-music-v-leo-feist/,S.D.N.Y.,Carnival in Cotton Town,Louis Ricca,Drummer Boy,Roger Edens
38,1946,US,Arnstein v. Porter,https://blogs.law.gwu.edu/mcir/case/arnstein-v-porter/,2d Cir.,Modern Messiah,Ira Arnstein,Don't Fence Me In,Cole Porter
39,1946,US,Heim v. Universal Pictures,https://blogs.law.gwu.edu/mcir/case/heim-v-universal-pictures/,2d Cir.,Ma Este Meg Boldog Vagyok,Hajdu Imre (Heim),Perhaps,Aldo Franchetti
40,1948,US,Baron v. Leo Feist,https://blogs.law.gwu.edu/mcir/case/baron-v-leo-feist/,S.D.N.Y.,L'Annee Passee,Lionel Belasco and Massie Patterson,Rum and Coca-Cola,Jeri Sullivan and Paul Baron
41,1948,US,Kahn v. Leo Feist,https://blogs.law.gwu.edu/mcir/case/kahn-v-leo-feist-inc/,2d Cir.,Victory Calypsoes,Mohammed H. Kahn,Rum and Coca-Cola,Leo Feist
